serial,id,division,district,upazilaBangla,2019,2020
263,264,বরিশাল,ভোলা,তজুমদ্দিন,2.0,0.0
264,265,বরিশাল,ভোলা,লালমোহন,13.0,0.0
265,266,বরিশাল,বরগুনা,আমতলী,48.0,0.0
266,267,বরিশাল,বরগুনা,বরগুনা সদর,101.0,0.0
267,268,বরিশাল,বরগুনা,বেতাগী,26.0,0.0
268,269,বরিশাল,বরগুনা,বামনা,11.0,0.0
269,270,বরিশাল,বরগুনা,পাথরঘাটা,50.0,0.0
270,271,বরিশাল,বরগুনা,তালতলি,0.0,0.0
271,272,সিলেট,সিলেট,বালাগঞ্জ,0.0,0.0
272,273,সিলেট,সিলেট,বিয়ানীবাজার,13.0,0.0
273,274,সিলেট,সিলেট,বিশ্বনাথ,61.0,0.0
274,275,সিলেট,সিলেট,কোম্পানীগঞ্জ,38.0,0.0
275,276,সিলেট,সিলেট,ফেঞ্চুগঞ্জ,1.0,0.0
276,277,সিলেট,সিলেট,গোলাপগঞ্জ,5.0,0.0
277,278,সিলেট,সিলেট,গোয়াইনঘাট,1.0,0.0
278,279,সিলেট,সিলেট,জৈন্তাপুর,6.0,0.0
279,280,সিলেট,সিলেট,কানাইঘাট,6.0,0.0
280,281,সিলেট,সিলেট,সিলেট সদর,162.0,0.0
281,282,সিলেট,সিলেট,জকিগঞ্জ,4.0,0.0
282,283,সিলেট,সিলেট,দক্ষিণ সুরমা,30.0,0.0
283,284,সিলেট,সিলেট,ওসমানী নগর,25.0,0.0
284,285,সিলেট,মৌলভীবাজার,বড়লেখা,12.0,0.0
285,286,সিলেট,মৌলভীবাজার,কমলগঞ্জ,12.0,0.0
286,287,সিলেট,মৌলভীবাজার,কুলাউড়া,22.0,0.0
287,288,সিলেট,মৌলভীবাজার,মৌলভীবাজার সদর,43.0,0.0
288,289,সিলেট,মৌলভীবাজার,রাজনগর,7.0,0.0
289,290,সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,21.0,1.0
290,291,সিলেট,মৌলভীবাজার,জুড়ী,4.0,0.0
291,292,সিলেট,হবিগঞ্জ,নবীগঞ্জ,16.0,0.0
292,293,সিলেট,হবিগঞ্জ,বাহুবল,7.0,0.0
293,294,সিলেট,হবিগঞ্জ,আজমিরীগঞ্জ,5.0,0.0
294,295,সিলেট,হবিগঞ্জ,বানিয়াচং,15.0,0.0
295,296,সিলেট,হবিগঞ্জ,লাখাই,28.0,0.0
296,297,সিলেট,হবিগঞ্জ,চুনারুঘাট,22.0,0.0
297,298,সিলেট,হবিগঞ্জ,হবিগঞ্জ সদর,115.0,0.0
298,299,সিলেট,হবিগঞ্জ,মাধবপুর,34.0,0.0
299,300,সিলেট,সুনামগঞ্জ,সুনামগঞ্জ সদর,29.0,0.0
300,301,সিলেট,সুনামগঞ্জ,দক্ষিণ সুনামগঞ্জ,23.0,0.0
301,302,সিলেট,সুনামগঞ্জ,বিশ্বম্ভরপুর,2.0,0.0
302,303,সিলেট,সুনামগঞ্জ,ছাতক,0.0,0.0
303,304,সিলেট,সুনামগঞ্জ,জগন্নাথপুর,7.0,0.0
304,305,সিলেট,সুনামগঞ্জ,দোয়ারাবাজার,0.0,0.0
305,306,সিলেট,সুনামগঞ্জ,তাহিরপুর,5.0,0.0
306,307,সিলেট,সুনামগঞ্জ,ধর্মপাশা,6.0,0.0
307,308,সিলেট,সুনামগঞ্জ,জামালগঞ্জ,4.0,0.0
308,309,সিলেট,সুনামগঞ্জ,শাল্লা,6.0,0.0
309,310,সিলেট,সুনামগঞ্জ,দিরাই,9.0,0.0
310,311,ঢাকা,নরসিংদী,বেলাবো,2.0,0.0
311,312,ঢাকা,নরসিংদী,মনোহরদী,11.0,0.0
312,313,ঢাকা,নরসিংদী,নরসিংদী সদর,32.0,0.0
313,314,ঢাকা,নরসিংদী,পলাশ,102.0,3.0
314,315,ঢাকা,নরসিংদী,রায়পুরা,2.0,0.0
315,316,ঢাকা,নরসিংদী,শিবপুর,14.0,0.0
316,317,ঢাকা,গাজীপুর,কালীগঞ্জ,179.0,0.0
317,318,ঢাকা,গাজীপুর,কালিয়াকৈর,30.0,1.0
318,319,ঢাকা,গাজীপুর,কাপাসিয়া,10.0,0.0
319,320,ঢাকা,গাজীপুর,গাজীপুর সদর,56.0,0.0
320,321,ঢাকা,গাজীপুর,শ্রীপুর,48.0,0.0
321,322,ঢাকা,শরীয়তপুর,শরিয়তপুর সদর,3.0,0.0
322,323,ঢাকা,শরীয়তপুর,নড়িয়া,13.0,0.0
323,324,ঢাকা,শরীয়তপুর,জাজিরা,54.0,0.0
324,325,ঢাকা,শরীয়তপুর,গোসাইরহাট,76.0,0.0
325,326,ঢাকা,শরীয়তপুর,ভেদরগঞ্জ,62.0,0.0
326,327,ঢাকা,শরীয়তপুর,ডামুড্যা,55.0,0.0
327,328,ঢাকা,নারায়ণগঞ্জ,আড়াইহাজার,24.0,0.0
328,329,ঢাকা,নারায়ণগঞ্জ,বন্দর,103.0,3.0
